Ticker,Symbol
MMM,MMM.US
AOS,AOS.US
ABT,ABT.US
ABBV,ABBV.US
ACN,ACN.US
ADBE,ADBE.US
AMD,AMD.US
AES,AES.US
AFL,AFL.US
A,A.US
APD,APD.US
ABNB,ABNB.US
AKAM,AKAM.US
ALB,ALB.US
ARE,ARE.US
ALGN,ALGN.US
ALLE,ALLE.US
LNT,LNT.US
ALL,ALL.US
GOOGL,GOOGL.US
GOOG,GOOG.US
MO,MO.US
AMZN,AMZN.US
AMCR,AMCR.US
AEE,AEE.US
AEP,AEP.US
AXP,AXP.US
AIG,AIG.US
AMT,AMT.US
AWK,AWK.US
AMP,AMP.US
AME,AME.US
AMGN,AMGN.US
APH,APH.US
ADI,ADI.US
AON,AON.US
APA,APA.US
APO,APO.US
AAPL,AAPL.US
AMAT,AMAT.US
APP,APP.US
APTV,APTV.US
ACGL,ACGL.US
ADM,ADM.US
ARES,ARES.US
ANET,ANET.US
AJG,AJG.US
AIZ,AIZ.US
T,T.US
ATO,ATO.US
ADSK,ADSK.US
ADP,ADP.US
AZO,AZO.US
AVB,AVB.US
AVY,AVY.US
AXON,AXON.US
BKR,BKR.US
BALL,BALL.US
BAC,BAC.US
BAX,BAX.US
BDX,BDX.US
BRK-B,BRK-B.US
BBY,BBY.US
TECH,TECH.US
BIIB,BIIB.US
BLK,BLK.US
BX,BX.US
XYZ,XYZ.US
BK,BK.US
BA,BA.US
BKNG,BKNG.US
BSX,BSX.US
BMY,BMY.US
AVGO,AVGO.US
BR,BR.US
BRO,BRO.US
BF-B,BF-B.US
BLDR,BLDR.US
BG,BG.US
BXP,BXP.US
CHRW,CHRW.US
CDNS,CDNS.US
CPT,CPT.US
CPB,CPB.US
COF,COF.US
CAH,CAH.US
CCL,CCL.US
CARR,CARR.US
CVNA,CVNA.US
CAT,CAT.US
CBOE,CBOE.US
CBRE,CBRE.US
CDW,CDW.US
COR,COR.US
CNC,CNC.US
CNP,CNP.US
CF,CF.US
CRL,CRL.US
SCHW,SCHW.US
CHTR,CHTR.US
CVX,CVX.US
CMG,CMG.US
CB,CB.US
CHD,CHD.US
CIEN,CIEN.US
CI,CI.US
CINF,CINF.US
CTAS,CTAS.US
CSCO,CSCO.US
C,C.US
CFG,CFG.US
CLX,CLX.US
CME,CME.US
CMS,CMS.US
KO,KO.US
CTSH,CTSH.US
COHR,COHR.US
COIN,COIN.US
CL,CL.US
CMCSA,CMCSA.US
FIX,FIX.US
CAG,CAG.US
COP,COP.US
ED,ED.US
STZ,STZ.US
CEG,CEG.US
COO,COO.US
CPRT,CPRT.US
GLW,GLW.US
CPAY,CPAY.US
CTVA,CTVA.US
CSGP,CSGP.US
COST,COST.US
CTRA,CTRA.US
CRH,CRH.US
CRWD,CRWD.US
CCI,CCI.US
CSX,CSX.US
CMI,CMI.US
CVS,CVS.US
DHR,DHR.US
DRI,DRI.US
DDOG,DDOG.US
DVA,DVA.US
DECK,DECK.US
DE,DE.US
DELL,DELL.US
DAL,DAL.US
DVN,DVN.US
DXCM,DXCM.US
FANG,FANG.US
DLR,DLR.US
DG,DG.US
DLTR,DLTR.US
D,D.US
DPZ,DPZ.US
DASH,DASH.US
DOV,DOV.US
DOW,DOW.US
DHI,DHI.US
DTE,DTE.US
DUK,DUK.US
DD,DD.US
ETN,ETN.US
EBAY,EBAY.US
SATS,SATS.US
ECL,ECL.US
EIX,EIX.US
EW,EW.US
EA,EA.US
ELV,ELV.US
EME,EME.US
EMR,EMR.US
ETR,ETR.US
EOG,EOG.US
EPAM,EPAM.US
EQT,EQT.US
EFX,EFX.US
EQIX,EQIX.US
EQR,EQR.US
ERIE,ERIE.US
ESS,ESS.US
EL,EL.US
EG,EG.US
EVRG,EVRG.US
ES,ES.US
EXC,EXC.US
EXE,EXE.US
EXPE,EXPE.US
EXPD,EXPD.US
EXR,EXR.US
XOM,XOM.US
FFIV,FFIV.US
FDS,FDS.US
FICO,FICO.US
FAST,FAST.US
FRT,FRT.US
FDX,FDX.US
FIS,FIS.US
FITB,FITB.US
FSLR,FSLR.US
FE,FE.US
FISV,FISV.US
F,F.US
FTNT,FTNT.US
FTV,FTV.US
FOXA,FOXA.US
FOX,FOX.US
BEN,BEN.US
FCX,FCX.US
GRMN,GRMN.US
IT,IT.US
GE,GE.US
GEHC,GEHC.US
GEV,GEV.US
GEN,GEN.US
GNRC,GNRC.US
GD,GD.US
GIS,GIS.US
GM,GM.US
GPC,GPC.US
GILD,GILD.US
GPN,GPN.US
GL,GL.US
GDDY,GDDY.US
GS,GS.US
HAL,HAL.US
HIG,HIG.US
HAS,HAS.US
HCA,HCA.US
DOC,DOC.US
HSIC,HSIC.US
HSY,HSY.US
HPE,HPE.US
HLT,HLT.US
HOLX,HOLX.US
HD,HD.US
HON,HON.US
HRL,HRL.US
HST,HST.US
HWM,HWM.US
HPQ,HPQ.US
HUBB,HUBB.US
HUM,HUM.US
HBAN,HBAN.US
HII,HII.US
IBM,IBM.US
IEX,IEX.US
IDXX,IDXX.US
ITW,ITW.US
